"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"173","J92067N000","MCP FAIRMART","MCP FAIRMART PTE. LTD.","371 BUKIT BATOK STREET 31 #01-324, S(650371)","650371",1.3592409,103.750737925518
"174","J94081B000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","763 JURONG WEST STREET 75 #01-01, S(640763)","640763",1.348720325,103.69825822191
"175","J96145K000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","21 CHOA CHU KANG AVENUE 4 #B1-03, LOT 1 SHOPPERS' MALL S(689812)","689812",1.38528446875,103.744985595282
"176","NE04047K000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","138 TAMPINES STREET 11 #01-136, S(521138)","521138",16.2903712,80.9124948
"177","NE04092A000","U Stars Supermarket","U STARS PTE. LTD.","625 ELIAS ROAD #01-302, ELIAS MALL S(510625)","510625",1.37868825,103.941865017552
"178","NE04107V000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","168 PUNGGOL FIELD #03-01, PUNGGOL PLAZA S(820168)","820168",1.394225475,103.912867453013
"179","NE04109P000","AZ SUPERMART","AZ SUPERMART PTE. LTD.","21 KAKI BUKIT AVENUE 3, GOLDEN BUKIT DORMITORY 2 S(415920) GOLDEN BUKIT DORMITORY 2","415920",1.33830565,103.909437389383
"180","NE04114A000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","866A TAMPINES STREET 83 #01-01, TAMPINES CENTRAL COMMUNITY COMPLEX S(521866)","521866",1.3553453,103.934373670485
"181","NE04155C000","YES Supermarket","YES SUPERMARKET PTE LTD","829 TAMPINES ST 81, S(520829)","520829",49.0039415,22.2336337
"182","NE06429X000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","266 COMPASSVALE BOW #01-02, THE CORIS S(540266) MULTI STOREY CAR PARK","540266",1.38170625,103.897034658326
"183","NE07474A000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","21 TAMPINES NORTH DRIVE 2, GIANT S(528765) GIANT HYPERMARKETS","528765",48.86352905,21.5508501971574
"184","NE08058P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","1 PASIR RIS CLOSE #02-127, E!HUB@DOWNTOWN EAST S(519599) PASIR RIS NTUC RESORT","519599",1.37735109166667,103.955002724164
"185","NE08357A000","SUZYAMEER FROZEN","SUZYAMEER FROZEN PTE. LTD.","201D TAMPINES STREET 21 #01-1161, S(524201)","524201",14.9078833611379,79.9920095636003
"186","NE09027A000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","10 TAMPINES CENTRAL 1 #B1-01/02, S(529536)","529536",1.35407211428571,103.945157685179
"187","NE09263B000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","100 HOUGANG AVENUE 10 #02-01, S(538767)","538767",1.3727201,103.8935675
"188","NE09314N000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","776 PASIR RIS STREET 71 #01-412, S(510776)","510776",1.3748349,103.93709532308
"189","NE09359K000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","301 PUNGGOL CENTRAL #01-01, CORALINUS S(820301) MULTI STOREY CAR PARK","820301",1.40368685,103.90608065
"190","NE10113B000","ang mo supermarket","ANG MO SUPERMARKET PTE LTD","639 PUNGGOL DRIVE #01-01, S(820639)","820639",1.399486625,103.916004450053
"191","NE10213X000","begonia supermarket","SHAHUL HAMEED S/O ABDUSALAM","280 TAMPINES STREET 22 #01-244, S(520280)","520280",1.3476035,103.951759557069
"192","NE10310X000","FAIRPRICE FINEST","NTUC FAIRPRICE CO-OPERATIVE LTD","1 MAJU AVENUE #B1-11-14,#B1-18-20, MYVILLAGE AT SERANGOON GARDEN S(556679)","556679",1.3649792375,103.865213455246
"193","NE11909C000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","683 HOUGANG AVENUE 8 #01-903, S(530683)","530683",1.3736059,103.88610765
"194","NE12B79A000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","612 PUNGGOL DRIVE #01-06, S(820612)","820612",1.40461,103.90867
"195","NE12I65N000","LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.","LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.","273C PUNGGOL PLACE #01-884, PUNGGOL REGALIA S(823273)","823273",1.4022354,103.901273676367
"196","NE13M11K000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","622D PUNGGOL CENTRAL #01-06, PUNGGOL SPECTRA S(824622)","824622",1.4005738,103.910451101335
"197","NE15002X000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","506 TAMPINES CENTRAL 1 #01-361, S11 COURT S(520506)","520506",1.35609085,103.9459306
"198","NE15211C000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","312A SUMANG LINK #01-04, PUNGGOL PARCVISTA S(821312)","821312",1.4109241,103.90037742715
"199","NE15276N000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","527D PASIR RIS STREET 51 #01-01, COSTA RIS S(514527)","514527",1.369718175,103.948000030596
