"","Type","Name","Address","Region","postcode","lat","long"
"183","Market & Food Centre","Zion Riverside Food Centre","70 Zion Road, S(247792)","Central","247792",1.2923,103.831
"184","MRT Station","Bayfront MRT Station","11 Bayfront Avenue, S(018957)","Central","018957",1.2819,103.859
"185","MRT Station","Bendemeer MRT Station (DT23)","11 Kallang Bahru, S(339356)","Central","339356",1.3137,103.863
"186","MRT Station","Braddell MRT Station","377 Lorong 1, Toa Payoh, S(319756)","Central","319756",1.3403,103.846
"187","MRT Station","Bright Hill MRT Station (TE7)","100 Sin Ming Avenue, S(575737)","Central","575737",1.3637,103.833
"188","MRT Station","Chinatown MRT Station (DT19)","91 Upper Cross Street, S(058362)","Central","058362",1.2842,103.845
"189","MRT Station","Chinatown MRT Station (NE4)","151 New Bridge Road, (059443)","Central","059443",1.2842,103.843
"190","MRT Station","Clark Quay MRT Station (NE5)","10 Outram Road, S(169037)","Central","169037",1.2814,103.839
"191","MRT Station","Farrer Park MRT Station (NE8)","250 Race Course Road, S(218703)","Central","218703",1.3125,103.854
"192","MRT Station","Geylang Bahru MRT Station (DT24)","541 Kallang Bahru, S(339355)","Central","339355",1.3213,103.871
"193","MRT Station","HarbourFront MRT Station (NE1)","81 Telok Blangah Road, S(098867)","Central","098867",1.2654,103.821
"194","MRT Station","Jalan Besar MRT Station (DT22)","35B Jalan Besar, S(208800)","Central","208800",1.3046,103.854
"195","MRT Station","Kallang MRT Station (EW10)","5 Sims Avenue, S(387405)","Central","387405",1.3115,103.871
"196","MRT Station","Lentor MRT Station (TE5)","1 Lentor Drive, S(789361)","Central","789361",1.3846,103.836
"197","MRT Station","Mayflower MRT Station (TE6)","91 Ang Mo Kio Avenue 4, S(569900)","Central","569900",1.3715,103.836
"198","MRT Station","Nicoll Highway MRT Station","20 Republic Avenue, S(038970)","Central","038970",1.2996,103.863
"199","MRT Station","Promenade MRT Station","2 Tamasek Avenue, S(039193)","Central","039193",1.2938,103.86
"200","MRT Station","Raffles Place MRT Station","5 Raffles Place, S(048618)","Central","048618",1.284,103.851
"201","MRT Station","Steven Road MRT Station (DT10)","92 Steven Road, S(257877)","Central","257877",1.32,103.826
"202","MRT Station","Telok Ayer MRT Station (DT18)","7 Cross Street, S(048416)","Central","048416",1.2821,103.848
"203","MRT Station","Woodleigh MRT Station (NE11)","400 Upper Serangoon Road, S(347695)","Central","347695",1.3395,103.87
"204","MRT Station","Yio Chu Kang MRT Station (NS15)","3000 Ang Mo Kio Avenue 8, S(569813)","Central","569813",1.3817,103.845
"205","Private Office","Wee Hur Construction Pte Ltd","39 Kim Keat Road, Wee Hur Building, S(328814)","Central","328814",1.3254,103.853
"206","Restaurant","MTR 1924 Indian Restaurant","438 Serangoon Road, S(218133)","Central","218133",1.3129,103.856
